Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;4376;148;;;
3500204;Interior;Adolfo;623;19;;;
3500303;Interior;Aguaí;3671;113;;;
3500402;Interior;Águas da Prata;805;30;;;
3500501;Interior;Águas de Lindóia;2485;53;;;
3500550;Interior;Águas de Santa Bárbara;607;19;;;
3500600;Interior;Águas de São Pedro;464;13;;;
3500709;Interior;Agudos;4800;111;;;
3500758;Interior;Alambari;686;12;;;
3500808;Interior;Alfredo Marcondes;285;15;;;
3500907;Interior;Altair;312;17;;;
3501004;Interior;Altinópolis;1048;56;;;
3501103;Interior;Alto Alegre;403;22;;;
3501152;Interior;Alumínio;1637;53;;;
3501202;Interior;Álvares Florence;629;16;;;
3501301;Interior;Álvares Machado;2561;80;;;
3501400;Interior;Álvaro de Carvalho;294;9;;;
3501509;Interior;Alvinlândia;145;9;;;
3501608;Interior;Americana;27312;861;;;
3501707;Interior;Américo Brasiliense;4383;99;;;
3501806;Interior;Américo de Campos;1172;35;;;
3501905;Interior;Amparo;8455;224;;;
3502002;Interior;Analândia;396;5;;;
3502101;Interior;Andradina;7332;282;;;
3502200;Interior;Angatuba;3202;79;;;
3502309;Interior;Anhembi;368;11;;;
3502408;Interior;Anhumas;385;7;;;
3502507;Interior;Aparecida;2909;118;;;
3502606;Interior;Aparecida d'Oeste;966;22;;;
3502705;Interior;Apiaí;1781;97;;;
3502754;Interior;Araçariguama;2250;74;;;
3502804;Interior;Araçatuba;32248;937;;;
3502903;Interior;Araçoiaba da Serra;3109;91;;;
3503000;Interior;Aramina;368;18;;;
3503109;Interior;Arandu;657;21;;;
3503158;Interior;Arapeí;271;4;;;
3503208;Interior;Araraquara;24173;551;;;
3503307;Interior;Araras;18683;405;;;
3503356;Interior;Arco-Íris;177;8;;;
3503406;Interior;Arealva;1128;21;;;
3503505;Interior;Areias;366;2;;;
3503604;Interior;Areiópolis;1419;23;;;
3503703;Interior;Ariranha;1018;31;;;
3503802;Interior;Artur Nogueira;6610;147;;;
3503901;RMSP (exceto capital);Arujá;8830;347;;;
3503950;Interior;Aspásia;214;9;;;
3504008;Interior;Assis;13000;417;;;
3504107;Interior;Atibaia;12772;296;;;
3504206;Interior;Auriflama;2124;78;;;
3504305;Interior;Avaí;550;13;;;
3504404;Interior;Avanhandava;1231;44;;;
3504503;Interior;Avaré;12170;282;;;
3504602;Interior;Bady Bassitt;4217;86;;;
3504701;Interior;Balbinos;395;4;;;
3504800;Interior;Bálsamo;1910;67;;;
3504909;Interior;Bananal;1133;4;;;
3505005;Interior;Barão de Antonina;519;11;;;
3505104;Interior;Barbosa;788;21;;;
3505203;Interior;Bariri;3234;135;;;
3505302;Interior;Barra Bonita;4846;117;;;
3505351;Interior;Barra do Chapéu;452;11;;;
3505401;Interior;Barra do Turvo;737;23;;;
3505500;Interior;Barretos;18408;591;;;
3505609;Interior;Barrinha;1716;76;;;
3505708;RMSP (exceto capital);Barueri;35792;1176;;;
3505807;Interior;Bastos;2162;50;;;
3505906;Interior;Batatais;6478;177;;;
3506003;Interior;Bauru;55896;1250;;;
3506102;Interior;Bebedouro;4915;324;;;
3506201;Interior;Bento de Abreu;396;5;;;
3506300;Interior;Bernardino de Campos;918;34;;;
3506359;Interior;Bertioga;6914;176;;;
3506409;Interior;Bilac;957;22;;;
3506508;Interior;Birigui;18428;614;;;
3506607;RMSP (exceto capital);Biritiba Mirim;1565;110;;;
3506706;Interior;Boa Esperança do Sul;2044;22;;;
3506805;Interior;Bocaina;1485;35;;;
3506904;Interior;Bofete;1043;24;;;
3507001;Interior;Boituva;6721;196;;;
3507100;Interior;Bom Jesus dos Perdões;2484;32;;;
3507159;Interior;Bom Sucesso de Itararé;260;7;;;
3507209;Interior;Borá;127;1;;;
3507308;Interior;Boracéia;997;24;;;
3507407;Interior;Borborema;1725;54;;;
3507456;Interior;Borebi;290;4;;;
3507506;Interior;Botucatu;21615;336;;;
3507605;Interior;Bragança Paulista;24172;593;;;
3507704;Interior;Braúna;624;24;;;
3507753;Interior;Brejo Alegre;404;13;;;
3507803;Interior;Brodowski;2916;79;;;
3507902;Interior;Brotas;2406;69;;;
3508009;Interior;Buri;2675;94;;;
3508108;Interior;Buritama;3276;77;;;
3508207;Interior;Buritizal;357;10;;;
3508306;Interior;Cabrália Paulista;472;9;;;
3508405;Interior;Cabreúva;5218;143;;;
3508504;Interior;Caçapava;9249;290;;;
3508603;Interior;Cachoeira Paulista;2792;47;;;
3508702;Interior;Caconde;1596;39;;;
3508801;Interior;Cafelândia;835;51;;;
3508900;Interior;Caiabu;322;8;;;
3509007;RMSP (exceto capital);Caieiras;10057;336;;;
3509106;Interior;Caiuá;420;11;;;
3509205;RMSP (exceto capital);Cajamar;5482;249;;;
3509254;Interior;Cajati;4963;105;;;
3509304;Interior;Cajobi;1161;33;;;
3509403;Interior;Cajuru;1999;59;;;
3509452;Interior;Campina do Monte Alegre;624;25;;;
3509502;Interior;Campinas;119868;4655;;;
3509601;Interior;Campo Limpo Paulista;6440;290;;;
3509700;Interior;Campos do Jordão;6183;146;;;
3509809;Interior;Campos Novos Paulista;310;10;;;
3509908;Interior;Cananéia;923;32;;;
3509957;Interior;Canas;222;4;;;
3510005;Interior;Cândido Mota;4924;166;;;
3510104;Interior;Cândido Rodrigues;144;7;;;
3510153;Interior;Canitar;870;25;;;
3510203;Interior;Capão Bonito;6137;161;;;
3510302;Interior;Capela do Alto;1676;39;;;
3510401;Interior;Capivari;5881;112;;;
3510500;Interior;Caraguatatuba;19296;480;;;
3510609;RMSP (exceto capital);Carapicuíba;34416;1187;;;
3510708;Interior;Cardoso;1819;65;;;
3510807;Interior;Casa Branca;3589;109;;;
3510906;Interior;Cássia dos Coqueiros;253;1;;;
3511003;Interior;Castilho;2507;89;;;
3511102;Interior;Catanduva;15809;630;;;
3511201;Interior;Catiguá;879;39;;;
3511300;Interior;Cedral;1431;30;;;
3511409;Interior;Cerqueira César;2248;50;;;
3511508;Interior;Cerquilho;6613;164;;;
3511607;Interior;Cesário Lange;2604;70;;;
3511706;Interior;Charqueada;1601;46;;;
3511904;Interior;Clementina;968;22;;;
3512001;Interior;Colina;1686;71;;;
3512100;Interior;Colômbia;693;15;;;
3512209;Interior;Conchal;3117;84;;;
3512308;Interior;Conchas;2752;73;;;
3512407;Interior;Cordeirópolis;5932;102;;;
3512506;Interior;Coroados;965;20;;;
3512605;Interior;Coronel Macedo;663;25;;;
3512704;Interior;Corumbataí;485;7;;;
3512803;Interior;Cosmópolis;7939;174;;;
3512902;Interior;Cosmorama;808;42;;;
3513009;RMSP (exceto capital);Cotia;17223;674;;;
3513108;Interior;Cravinhos;2214;98;;;
3513207;Interior;Cristais Paulista;1295;17;;;
3513306;Interior;Cruzália;199;6;;;
3513405;Interior;Cruzeiro;6758;104;;;
3513504;Interior;Cubatão;13732;510;;;
3513603;Interior;Cunha;982;15;;;
3513702;Interior;Descalvado;4359;86;;;
3513801;RMSP (exceto capital);Diadema;26870;1461;;;
3513850;Interior;Dirce Reis;196;5;;;
3513900;Interior;Divinolândia;1383;48;;;
3514007;Interior;Dobrada;617;10;;;
3514106;Interior;Dois Córregos;1843;43;;;
3514205;Interior;Dolcinópolis;258;7;;;
3514304;Interior;Dourado;1029;19;;;
3514403;Interior;Dracena;5881;271;;;
3514502;Interior;Duartina;1133;28;;;
3514601;Interior;Dumont;1567;24;;;
3514700;Interior;Echaporã;806;25;;;
3514809;Interior;Eldorado;1674;27;;;
3514908;Interior;Elias Fausto;1614;36;;;
3514924;Interior;Elisiário;583;8;;;
3514957;Interior;Embaúba;123;10;;;
3515004;RMSP (exceto capital);Embu das Artes;10747;646;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5201;216;;;
3515129;Interior;Emilianópolis;393;8;;;
3515152;Interior;Engenheiro Coelho;2707;57;;;
3515186;Interior;Espírito Santo do Pinhal;5214;111;;;
3515194;Interior;Espírito Santo do Turvo;476;9;;;
3515202;Interior;Estrela d'Oeste;2021;32;;;
3515301;Interior;Estrela do Norte;379;6;;;
3515350;Interior;Euclides da Cunha Paulista;505;15;;;
3515400;Interior;Fartura;2343;51;;;
3515509;Interior;Fernandópolis;12761;364;;;
3515608;Interior;Fernando Prestes;975;12;;;
3515657;Interior;Fernão;252;1;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10467;507;;;
3515806;Interior;Flora Rica;134;7;;;
3515905;Interior;Floreal;263;7;;;
3516002;Interior;Flórida Paulista;1399;35;;;
3516101;Interior;Florínea;429;13;;;
3516200;Interior;Franca;38496;969;;;
3516309;RMSP (exceto capital);Francisco Morato;12249;454;;;
3516408;RMSP (exceto capital);Franco da Rocha;14029;405;;;
3516507;Interior;Gabriel Monteiro;325;6;;;
3516606;Interior;Gália;601;19;;;
3516705;Interior;Garça;5644;143;;;
3516804;Interior;Gastão Vidigal;207;16;;;
3516853;Interior;Gavião Peixoto;1377;23;;;
3516903;Interior;General Salgado;1152;42;;;
3517000;Interior;Getulina;1112;34;;;
3517109;Interior;Glicério;607;21;;;
3517208;Interior;Guaiçara;1373;24;;;
3517307;Interior;Guaimbê;588;9;;;
3517406;Interior;Guaíra;6003;225;;;
3517505;Interior;Guapiaçu;2098;81;;;
3517604;Interior;Guapiara;2310;87;;;
3517703;Interior;Guará;2664;106;;;
3517802;Interior;Guaraçaí;903;24;;;
3517901;Interior;Guaraci;1488;28;;;
3518008;Interior;Guarani d'Oeste;230;6;;;
3518107;Interior;Guarantã;292;20;;;
3518206;Interior;Guararapes;4878;113;;;
3518305;RMSP (exceto capital);Guararema;2340;103;;;
3518404;Interior;Guaratinguetá;11621;311;;;
3518503;Interior;Guareí;3437;34;;;
3518602;Interior;Guariba;4238;107;;;
3518701;Interior;Guarujá;22647;1327;;;
3518800;RMSP (exceto capital);Guarulhos;66560;5077;;;
3518859;Interior;Guatapará;499;25;;;
3518909;Interior;Guzolândia;598;30;;;
3519006;Interior;Herculândia;1177;27;;;
3519055;Interior;Holambra;2366;17;;;
3519071;Interior;Hortolândia;26206;771;;;
3519105;Interior;Iacanga;1675;28;;;
3519204;Interior;Iacri;799;16;;;
3519253;Interior;Iaras;287;20;;;
3519303;Interior;Ibaté;3970;103;;;
3519402;Interior;Ibirá;2082;42;;;
3519501;Interior;Ibirarema;825;33;;;
3519600;Interior;Ibitinga;10077;285;;;
3519709;Interior;Ibiúna;5246;144;;;
3519808;Interior;Icém;1242;29;;;
3519907;Interior;Iepê;972;27;;;
3520004;Interior;Igaraçu do Tietê;3062;70;;;
3520103;Interior;Igarapava;1383;93;;;
3520202;Interior;Igaratá;2154;35;;;
3520301;Interior;Iguape;2750;114;;;
3520400;Interior;Ilhabela;7427;43;;;
3520426;Interior;Ilha Comprida;1435;51;;;
3520442;Interior;Ilha Solteira;3301;101;;;
3520509;Interior;Indaiatuba;27648;758;;;
3520608;Interior;Indiana;257;11;;;
3520707;Interior;Indiaporã;418;13;;;
3520806;Interior;Inúbia Paulista;526;17;;;
3520905;Interior;Ipaussu;2664;46;;;
3521002;Interior;Iperó;3240;58;;;
3521101;Interior;Ipeúna;765;21;;;
3521150;Interior;Ipiguá;1164;27;;;
3521200;Interior;Iporanga;605;7;;;
3521309;Interior;Ipuã;2231;63;;;
3521408;Interior;Iracemápolis;4787;100;;;
3521507;Interior;Irapuã;962;29;;;
3521606;Interior;Irapuru;735;36;;;
3521705;Interior;Itaberá;2428;68;;;
3521804;Interior;Itaí;3070;75;;;
3521903;Interior;Itajobi;2700;59;;;
3522000;Interior;Itaju;554;8;;;
3522109;Interior;Itanhaém;6987;341;;;
3522158;Interior;Itaoca;285;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;8852;473;;;
3522307;Interior;Itapetininga;17763;559;;;
3522406;Interior;Itapeva;12458;440;;;
3522505;RMSP (exceto capital);Itapevi;12774;712;;;
3522604;Interior;Itapira;10003;322;;;
3522653;Interior;Itapirapuã Paulista;578;4;;;
3522703;Interior;Itápolis;6263;164;;;
3522802;Interior;Itaporanga;1972;52;;;
3522901;Interior;Itapuí;1648;41;;;
3523008;Interior;Itapura;358;14;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;20488;1069;;;
3523206;Interior;Itararé;6923;254;;;
3523305;Interior;Itariri;1401;45;;;
3523404;Interior;Itatiba;13989;216;;;
3523503;Interior;Itatinga;2911;58;;;
3523602;Interior;Itirapina;1661;38;;;
3523701;Interior;Itirapuã;324;8;;;
3523800;Interior;Itobi;615;22;;;
3523909;Interior;Itu;23954;522;;;
3524006;Interior;Itupeva;6992;150;;;
3524105;Interior;Ituverava;2894;151;;;
3524204;Interior;Jaborandi;579;24;;;
3524303;Interior;Jaboticabal;7539;130;;;
3524402;Interior;Jacareí;25783;776;;;
3524501;Interior;Jaci;1358;29;;;
3524600;Interior;Jacupiranga;1710;53;;;
3524709;Interior;Jaguariúna;7012;144;;;
3524808;Interior;Jales;7380;275;;;
3524907;Interior;Jambeiro;427;14;;;
3525003;RMSP (exceto capital);Jandira;8241;338;;;
3525102;Interior;Jardinópolis;4248;146;;;
3525201;Interior;Jarinu;3122;78;;;
3525300;Interior;Jaú;14207;559;;;
3525409;Interior;Jeriquara;355;3;;;
3525508;Interior;Joanópolis;1237;7;;;
3525607;Interior;João Ramalho;663;12;;;
3525706;Interior;José Bonifácio;6046;150;;;
3525805;Interior;Júlio Mesquita;343;14;;;
3525854;Interior;Jumirim;541;8;;;
3525904;Interior;Jundiaí;56012;1621;;;
3526001;Interior;Junqueirópolis;2264;95;;;
3526100;Interior;Juquiá;2056;63;;;
3526209;RMSP (exceto capital);Juquitiba;1788;77;;;
3526308;Interior;Lagoinha;243;16;;;
3526407;Interior;Laranjal Paulista;4672;120;;;
3526506;Interior;Lavínia;951;17;;;
3526605;Interior;Lavrinhas;343;5;;;
3526704;Interior;Leme;14290;428;;;
3526803;Interior;Lençóis Paulista;12933;186;;;
3526902;Interior;Limeira;28737;1177;;;
3527009;Interior;Lindóia;944;17;;;
3527108;Interior;Lins;9734;297;;;
3527207;Interior;Lorena;5414;143;;;
3527256;Interior;Lourdes;299;6;;;
3527306;Interior;Louveira;5535;108;;;
3527405;Interior;Lucélia;2048;61;;;
3527504;Interior;Lucianópolis;348;6;;;
3527603;Interior;Luís Antônio;2169;35;;;
3527702;Interior;Luiziânia;296;12;;;
3527801;Interior;Lupércio;268;8;;;
3527900;Interior;Lutécia;247;6;;;
3528007;Interior;Macatuba;3262;61;;;
3528106;Interior;Macaubal;1020;18;;;
3528205;Interior;Macedônia;466;26;;;
3528304;Interior;Magda;399;10;;;
3528403;Interior;Mairinque;4484;73;;;
3528502;RMSP (exceto capital);Mairiporã;6811;244;;;
3528601;Interior;Manduri;993;23;;;
3528700;Interior;Marabá Paulista;132;4;;;
3528809;Interior;Maracaí;2163;46;;;
3528858;Interior;Marapoama;559;15;;;
3528908;Interior;Mariápolis;303;9;;;
3529005;Interior;Marília;32491;991;;;
3529104;Interior;Marinópolis;231;5;;;
3529203;Interior;Martinópolis;2014;86;;;
3529302;Interior;Matão;5637;209;;;
3529401;RMSP (exceto capital);Mauá;32377;1578;;;
3529500;Interior;Mendonça;1072;31;;;
3529609;Interior;Meridiano;366;32;;;
3529658;Interior;Mesópolis;298;5;;;
3529708;Interior;Miguelópolis;1511;95;;;
3529807;Interior;Mineiros do Tietê;1550;32;;;
3529906;Interior;Miracatu;2387;76;;;
3530003;Interior;Mira Estrela;358;15;;;
3530102;Interior;Mirandópolis;2231;108;;;
3530201;Interior;Mirante do Paranapanema;1289;45;;;
3530300;Interior;Mirassol;10116;284;;;
3530409;Interior;Mirassolândia;761;18;;;
3530508;Interior;Mococa;6473;248;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;34836;1739;;;
3530706;Interior;Mogi Guaçu;22203;610;;;
3530805;Interior;Mogi Mirim;12675;370;;;
3530904;Interior;Mombuca;463;10;;;
3531001;Interior;Monções;258;6;;;
3531100;Interior;Mongaguá;2346;95;;;
3531209;Interior;Monte Alegre do Sul;693;16;;;
3531308;Interior;Monte Alto;6755;193;;;
3531407;Interior;Monte Aprazível;3082;93;;;
3531506;Interior;Monte Azul Paulista;2365;26;;;
3531605;Interior;Monte Castelo;704;18;;;
3531704;Interior;Monteiro Lobato;283;9;;;
3531803;Interior;Monte Mor;7359;143;;;
3531902;Interior;Morro Agudo;4670;103;;;
3532009;Interior;Morungaba;1080;28;;;
3532058;Interior;Motuca;362;9;;;
3532108;Interior;Murutinga do Sul;454;19;;;
3532157;Interior;Nantes;244;8;;;
3532207;Interior;Narandiba;1075;22;;;
3532306;Interior;Natividade da Serra;229;14;;;
3532405;Interior;Nazaré Paulista;1681;50;;;
3532504;Interior;Neves Paulista;1497;44;;;
3532603;Interior;Nhandeara;1518;50;;;
3532702;Interior;Nipoã;509;15;;;
3532801;Interior;Nova Aliança;1207;25;;;
3532827;Interior;Nova Campina;894;44;;;
3532843;Interior;Nova Canaã Paulista;310;7;;;
3532868;Interior;Nova Castilho;112;3;;;
3532900;Interior;Nova Europa;827;29;;;
3533007;Interior;Nova Granada;3372;77;;;
3533106;Interior;Nova Guataporanga;213;4;;;
